litv網頁嗅探,#genre#
parse=1

1  民視台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv001          
2  民視第一台,https://www.litv.tv/channel/watch/4gtv-4gtv003          
3  民視綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv004          
4  豬哥亮歌廳秀,https://www.litv.tv/channel/watch/4gtv-4gtv006          
5  中天新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv009          
6  非凡新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv010          
7  影迷數位電影台,https://www.litv.tv/channel/watch/4gtv-4gtv011          
8  視納華仁紀實頻道,https://www.litv.tv/channel/watch/4gtv-4gtv013          
9  時尚運動X,https://www.litv.tv/channel/watch/4gtv-4gtv014          
10  達文西頻道,https://www.litv.tv/channel/watch/4gtv-4gtv018          
11  八大精彩台,https://www.litv.tv/channel/watch/4gtv-4gtv034          
12  八大綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv039          
13  中視,https://www.litv.tv/channel/watch/4gtv-4gtv040          
14  華視,https://www.litv.tv/channel/watch/4gtv-4gtv041          
15  公視戲劇,https://www.litv.tv/channel/watch/4gtv-4gtv042          
16  客家電視台,https://www.litv.tv/channel/watch/4gtv-4gtv043          
17  靖天卡通台,https://www.litv.tv/channel/watch/4gtv-4gtv044          
18  靖洋戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv045          
19  靖天綜合台,https://www.litv.tv/channel/watch/4gtv-4gtv046          
20  靖天日本台,https://www.litv.tv/channel/watch/4gtv-4gtv047          
21  非凡商業台,https://www.litv.tv/channel/watch/4gtv-4gtv048          
22  采昌影劇台,https://www.litv.tv/channel/watch/4gtv-4gtv049          
23  台視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv051          
24  華視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv052          
25  GINX Esports TV,https://www.litv.tv/channel/watch/4gtv-4gtv053          
26  Nice TV靖天歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv054          
27  靖天映畫,https://www.litv.tv/channel/watch/4gtv-4gtv055          
28  台視財經,https://www.litv.tv/channel/watch/4gtv-4gtv056          
29  靖洋卡通Nice Bingo,https://www.litv.tv/channel/watch/4gtv-4gtv057          
30  靖天戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv058          
31  CLASSICA 古典樂,https://www.litv.tv/channel/watch/4gtv-4gtv059          
32  靖天電影台,https://www.litv.tv/channel/watch/4gtv-4gtv061          
33  靖天育樂台,https://www.litv.tv/channel/watch/4gtv-4gtv062          
34  KLT-靖天國際台,https://www.litv.tv/channel/watch/4gtv-4gtv063          
35  中視菁采台,https://www.litv.tv/channel/watch/4gtv-4gtv064          
36  靖天資訊台,https://www.litv.tv/channel/watch/4gtv-4gtv065          
37  台視,https://www.litv.tv/channel/watch/4gtv-4gtv066          
38  TVBS精采台,https://www.litv.tv/channel/watch/4gtv-4gtv067          
39  TVBS歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv068          
40  愛爾達娛樂台,https://www.litv.tv/channel/watch/4gtv-4gtv070          
41  TVBS新聞,https://www.litv.tv/channel/watch/4gtv-4gtv072          
42  TVBS,https://www.litv.tv/channel/watch/4gtv-4gtv073          
43  中視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv074          
44  鏡電視新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv075          
45  亞洲旅遊台,https://www.litv.tv/channel/watch/4gtv-4gtv076          
46  TRACE Sport Stars,https://www.litv.tv/channel/watch/4gtv-4gtv077          
47  ARIRANG阿里郎頻道,https://www.litv.tv/channel/watch/4gtv-4gtv079          
48  中視經典台,https://www.litv.tv/channel/watch/4gtv-4gtv080          
49  TRACE Urban,https://www.litv.tv/channel/watch/4gtv-4gtv082          
50  Mezzo Live HD,https://www.litv.tv/channel/watch/4gtv-4gtv083          
51  國會頻道1台,https://www.litv.tv/channel/watch/4gtv-4gtv084          
52  國會頻道2台,https://www.litv.tv/channel/watch/4gtv-4gtv085          
53  智林體育台,https://www.litv.tv/channel/watch/4gtv-4gtv101          
54  東森購物1台,https://www.litv.tv/channel/watch/4gtv-4gtv102          
55  東森購物2台,https://www.litv.tv/channel/watch/4gtv-4gtv103          
56  第1商業台,https://www.litv.tv/channel/watch/4gtv-4gtv104          
57  中天亞洲台,https://www.litv.tv/channel/watch/4gtv-4gtv109          
58  東森新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv152          
59  東森財經新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv153          
60  民視,https://www.litv.tv/channel/watch/4gtv-4gtv155          
61  寰宇新聞台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv156          
62  寰宇財經台,https://www.litv.tv/channel/watch/4gtv-4gtv158          
63  三立新聞iNEWS,https://www.litv.tv/channel/watch/iNEWS          
64  Focus歡樂綜合台,https://www.litv.tv/channel/watch/litv-fast1223          
65  Focus風采戲劇台,https://www.litv.tv/channel/watch/litv-fast1224          
66  黃金八點檔,https://www.litv.tv/channel/watch/litv-fast1225          
67  VOA美國之音,https://www.litv.tv/channel/watch/litv-ftv03          
68  民視旅遊台,https://www.litv.tv/channel/watch/litv-ftv07          
69  民視影劇台,https://www.litv.tv/channel/watch/litv-ftv09          
70  半島國際新聞台,https://www.litv.tv/channel/watch/litv-ftv10          
71  民視新聞台,https://www.litv.tv/channel/watch/litv-ftv13          
72  影迷數位紀實台,https://www.litv.tv/channel/watch/litv-ftv15          
73  好消息,https://www.litv.tv/channel/watch/litv-ftv16          
74  好消息2台,https://www.litv.tv/channel/watch/litv-ftv17          
75  龍華卡通台,https://www.litv.tv/channel/watch/litv-longturn01          
76  龍華洋片台,https://www.litv.tv/channel/watch/litv-longturn02          
77  龍華電影台,https://www.litv.tv/channel/watch/litv-longturn03          
78  博斯魅力台,https://www.litv.tv/channel/watch/litv-longturn04          
79  博斯高球台,https://www.litv.tv/channel/watch/litv-longturn05          
80  博斯高球二台,https://www.litv.tv/channel/watch/litv-longturn06          
81  博斯運動一台,https://www.litv.tv/channel/watch/litv-longturn07          
82  博斯運動二台,https://www.litv.tv/channel/watch/litv-longturn08          
83  博斯網球台,https://www.litv.tv/channel/watch/litv-longturn09          
84  博斯無限台,https://www.litv.tv/channel/watch/litv-longturn10          
85  龍華日韓台,https://www.litv.tv/channel/watch/litv-longturn11          
86  龍華偶像台,https://www.litv.tv/channel/watch/litv-longturn12          
87  博斯無限二台,https://www.litv.tv/channel/watch/litv-longturn13          
88  寰宇新聞台,https://www.litv.tv/channel/watch/litv-longturn14          
89  龍華戲劇台,https://www.litv.tv/channel/watch/litv-longturn18          
90  Smart知識台,https://www.litv.tv/channel/watch/litv-longturn19          
91  ELTV生活英語台,https://www.litv.tv/channel/watch/litv-longturn20          
92  龍華經典台,https://www.litv.tv/channel/watch/litv-longturn21          
93  台灣戲劇台,https://www.litv.tv/channel/watch/litv-longturn22    
