4GTV頻道,#genre#

AMC 電影台,http://1234.koyeb.app/litv/4gtv-4gtv017
Arirang TV,http://1234.koyeb.app/litv/4gtv-4gtv079
Bloomberg TV,http://1234.koyeb.app/4gtv/283
CatchPlay 電影台,http://1234.koyeb.app/litv/4gtv-4gtv076
CI 罪案偵查頻道,http://1234.koyeb.app/4gtv/215
CinemaWorld,http://1234.koyeb.app/4gtv/225
Classica 古典樂,http://1234.koyeb.app/litv/4gtv-4gtv059
CNBC Asia 財經台,http://1234.koyeb.app/4gtv/235
DreamWorks 夢工廠動畫,http://1234.koyeb.app/4gtv/282
DW德國之聲,http://1234.koyeb.app/4gtv/226
ELTA 生活旅遊,http://1234.koyeb.app/4gtv/237
ELTA 娛樂台,http://1234.koyeb.app/litv/4gtv-4gtv070
ELTV 生活英語,http://1234.koyeb.app/litv/litv-longturn20
Fun 探索娛樂台,http://1234.koyeb.app/4gtv/274
GINX Esports TV,http://1234.koyeb.app/litv/4gtv-4gtv053
Global Trekker,http://1234.koyeb.app/4gtv/252
History 歷史頻道,http://1234.koyeb.app/4gtv/214
HITS 頻道,http://1234.koyeb.app/4gtv/186
i-Fun 動漫台,http://1234.koyeb.app/litv/litv-ftv15
Lifetime 娛樂頻道,http://1234.koyeb.app/4gtv/217
LiveABC 互動英語台,http://1234.koyeb.app/4gtv/188
Love Nature,http://1234.koyeb.app/4gtv/139
LUXE TV,http://1234.koyeb.app/4gtv/175
Mezzo Live,http://1234.koyeb.app/litv/4gtv-4gtv083
MOMO 親子台,http://1234.koyeb.app/4gtv/231
MTV Live HD 音樂頻道,http://1234.koyeb.app/4gtv/213
My Cinema Europe HD 我的歐洲電影,http://1234.koyeb.app/4gtv/176
Nick Jr. 兒童頻道,http://1234.koyeb.app/4gtv/219
Nickelodeon,http://1234.koyeb.app/4gtv/185
Pet Club TV,http://1234.koyeb.app/4gtv/182
Rock Action,http://1234.koyeb.app/4gtv/180
Rock Entertainment,http://1234.koyeb.app/4gtv/275
SBN 全球財經台,http://1234.koyeb.app/4gtv/224
Smart 知識台,http://1234.koyeb.app/litv/litv-longturn19
TechStorm,http://1234.koyeb.app/4gtv/181
Trace Urban,http://1234.koyeb.app/litv/4gtv-4gtv082
TraceSports,http://1234.koyeb.app/litv/4gtv-4gtv077
TV5MONDE Style,http://1234.koyeb.app/4gtv/178
TVBS 台劇台,http://1234.koyeb.app/4gtv/285
TVBS 新聞台,http://1234.koyeb.app/litv/4gtv-4gtv072
TVBS 精采台,http://1234.koyeb.app/litv/4gtv-4gtv067
TVBS 綜藝台,http://1234.koyeb.app/4gtv/284
TVBS 歡樂台,http://1234.koyeb.app/litv/4gtv-4gtv068
TVBS,http://1234.koyeb.app/litv/4gtv-4gtv073
VOA 美國之音,http://1234.koyeb.app/litv/litv-ftv03
人間衛視,http://1234.koyeb.app/4gtv/210
八大精彩台,http://1234.koyeb.app/litv/4gtv-4gtv034
八大綜藝台,http://1234.koyeb.app/litv/4gtv-4gtv039
三立 iNEWS,http://1234.koyeb.app/4gtv/229
三立綜合台,http://1234.koyeb.app/4gtv/169
大愛電視,http://1234.koyeb.app/4gtv/209
大愛電視2,http://1234.koyeb.app/4gtv/230
中天亞洲台,http://1234.koyeb.app/litv/4gtv-4gtv109
中天新聞台,http://1234.koyeb.app/litv/4gtv-4gtv009
中視,http://1234.koyeb.app/litv/4gtv-4gtv040
中視菁采台,http://1234.koyeb.app/litv/4gtv-4gtv064
中視新聞台,http://1234.koyeb.app/litv/4gtv-4gtv074
中視經典台,http://1234.koyeb.app/litv/4gtv-4gtv080
公視戲劇台,http://1234.koyeb.app/litv/4gtv-4gtv042
半島國際新聞台,http://1234.koyeb.app/litv/litv-ftv10
台視,http://1234.koyeb.app/litv/4gtv-4gtv066
台視財經台,http://1234.koyeb.app/litv/4gtv-4gtv056
台視新聞台,http://1234.koyeb.app/litv/4gtv-4gtv051
台灣戲劇台,http://1234.koyeb.app/litv/litv-longturn22
民視,http://1234.koyeb.app/litv/4gtv-4gtv002
民視台灣台,http://1234.koyeb.app/litv/4gtv-4gtv001
民視旅遊台,http://1234.koyeb.app/litv/litv-ftv07
民視第一台,http://1234.koyeb.app/litv/4gtv-4gtv003
民視新聞台,http://1234.koyeb.app/litv/litv-ftv13
民視綜藝台,http://1234.koyeb.app/litv/4gtv-4gtv004
民視影劇台,http://1234.koyeb.app/litv/litv-ftv09
好消息,http://1234.koyeb.app/litv/litv-ftv16
好消息2台,http://1234.koyeb.app/litv/litv-ftv17
車迷 TV,http://1234.koyeb.app/4gtv/160
亞洲旅遊台,http://1234.koyeb.app/litv/litv-longturn17
兒童卡通台,http://1234.koyeb.app/4gtv/269
幸福空間居家台,http://1234.koyeb.app/4gtv/168
