cctv網頁嗅探,#genre#
parse=1

1綜合,https://tv.cctv.com/live/cctv1
2財經,https://tv.cctv.com/live/cctv2
3綜藝,https://tv.cctv.com/live/cctv3
4中文國際亞洲,https://tv.cctv.com/live/cctv4
4中文國際歐洲,https://tv.cctv.com/live/cctveurope/index.shtml
4中文國際美洲,https://tv.cctv.com/live/cctvamerica
5體育,https://tv.cctv.com/live/cctv5
5+體育賽事,https://tv.cctv.com/live/cctv5plus
6電影,https://tv.cctv.com/live/cctv6
7國防軍事,https://tv.cctv.com/live/cctv7
8電視劇,https://tv.cctv.com/live/cctv8
9紀錄,https://tv.cctv.com/live/cctvjilu
10科教,https://tv.cctv.com/live/cctv10
11戲曲,https://tv.cctv.com/live/cctv11
12社會與法,https://tv.cctv.com/live/cctv12
13新聞,https://tv.cctv.com/live/cctv13
14少兒,https://tv.cctv.com/live/cctvchild
15音樂,https://tv.cctv.com/live/cctv15
16奥林匹克,https://tv.cctv.com/live/cctv16
17農業農村,https://tv.cctv.com/live/cctv17


CCTV4K,https://www.yangshipin.cn/tv/home?pid=600002264
1綜合,https://www.yangshipin.cn/tv/home?pid=600001859
2財經,https://www.yangshipin.cn/tv/home?pid=600001800
3綜藝,https://www.yangshipin.cn/tv/home?pid=600001801
4中文國際,https://www.yangshipin.cn/tv/home?pid=600001814
5體育,https://www.yangshipin.cn/tv/home?pid=600001818
5+體育賽事,https://www.yangshipin.cn/tv/home?pid=600001817
6電影,https://www.yangshipin.cn/tv/home?pid=600108442
7國防軍事,https://www.yangshipin.cn/tv/home?pid=600004092
8電視劇,https://www.yangshipin.cn/tv/home?pid=600001803
9紀錄,https://www.yangshipin.cn/tv/home?pid=600004078
10科教,https://www.yangshipin.cn/tv/home?pid=600001805
11戲曲,https://www.yangshipin.cn/tv/home?pid=600001806
12社會與法,https://www.yangshipin.cn/tv/home?pid=600001807
13新聞,https://www.yangshipin.cn/tv/home?pid=600001811
14少兒,https://www.yangshipin.cn/tv/home?pid=600001809
15音樂,https://www.yangshipin.cn/tv/home?pid=600001815
16奧林匹克,https://www.yangshipin.cn/tv/home?pid=600098637
16奧林匹克4K,https://www.yangshipin.cn/tv/home?pid=600099502
17農業農村,https://www.yangshipin.cn/tv/home?pid=600001810


江蘇衛視,https://www.yangshipin.cn/tv/home?pid=600002521
浙江衛視,https://www.yangshipin.cn/tv/home?pid=600002520
湖南衛視,https://www.yangshipin.cn/tv/home?pid=600002475
北京衛視,https://www.yangshipin.cn/tv/home?pid=600002309
東方衛視,https://www.yangshipin.cn/tv/home?pid=600002483
山東衛視,https://www.yangshipin.cn/tv/home?pid=600002513
四川衛視,https://www.yangshipin.cn/tv/home?pid=600002516
安徽衛視,https://www.yangshipin.cn/tv/home?pid=600002532
江西衛視,https://www.yangshipin.cn/tv/home?pid=600002503
東南衛視,https://www.yangshipin.cn/tv/home?pid=600002484
河北衛視,https://www.yangshipin.cn/tv/home?pid=600002493
河南衛視,https://www.yangshipin.cn/tv/home?pid=600002525
贵州衛視,https://www.yangshipin.cn/tv/home?pid=600002490
重慶衛視,https://www.yangshipin.cn/tv/home?pid=600002531
海南衛視,https://www.yangshipin.cn/tv/home?pid=600002506
深圳衛視,https://www.yangshipin.cn/tv/home?pid=600002481
湖北衛視,https://www.yangshipin.cn/tv/home?pid=600002508
廣西衛視,https://www.yangshipin.cn/tv/home?pid=600002509
廣東衛視,https://www.yangshipin.cn/tv/home?pid=600002485
遼寧衛視,https://www.yangshipin.cn/tv/home?pid=600002505
黑龍江衛視,https://www.yangshipin.cn/tv/home?pid=600002498


世界地理,https://www.yangshipin.cn/tv/home?pid=600099637
風雲劇場,https://www.yangshipin.cn/tv/home?pid=600099658
第一劇場,https://www.yangshipin.cn/tv/home?pid=600099655
懷舊劇場,https://www.yangshipin.cn/tv/home?pid=600099620
風雲音樂,https://www.yangshipin.cn/tv/home?pid=600099660
兵器科技,https://www.yangshipin.cn/tv/home?pid=600099649
風雲足球,https://www.yangshipin.cn/tv/home?pid=600099636
高爾夫·網球,https://www.yangshipin.cn/tv/home?pid=600099659
女性时尚,https://www.yangshipin.cn/tv/home?pid=600099650
央視文化精品,https://www.yangshipin.cn/tv/home?pid=600099653
央視台球,https://www.yangshipin.cn/tv/home?pid=600099652
電視指南,https://www.yangshipin.cn/tv/home?pid=600099656
衛生健康,https://www.yangshipin.cn/tv/home?pid=600099651

