央视,#genre#
CCTV1,https://tv.2cf.x10.mx/2gx/3221225934/1.m3u8?servicetype=1
CCTV1,https://tv.2cf.x10.mx/2gx/3221225654/1.m3u8?servicetype=1
CCTV2,https://tv.2cf.x10.mx/2gx/3221225948/1.m3u8?servicetype=1
CCTV2,https://tv.2cf.x10.mx/2gx/3221225657/1.m3u8?servicetype=1
CCTV3,https://tv.2cf.x10.mx/2gx/3221225916/1.m3u8?servicetype=1
CCTV3,https://tv.2cf.x10.mx/2gx/3221225713/1.m3u8?servicetype=1
CCTV4,https://tv.2cf.x10.mx/2gx/3221225922/1.m3u8?servicetype=1
CCTV4,https://tv.2cf.x10.mx/2gx/3221225761/1.m3u8?servicetype=1
CCTV5,https://tv.2cf.x10.mx/2gx/3221225801/1.m3u8?servicetype=1
CCTV5,https://tv.2cf.x10.mx/2gx/3221225925/1.m3u8?servicetype=1
CCTV5,https://tv.2cf.x10.mx/2gx/3221225660/1.m3u8?servicetype=1
CCTV5+,https://tv.2cf.x10.mx/2gx/3221225998/1.m3u8?servicetype=1
CCTV5+,https://tv.2cf.x10.mx/2gx/3221225712/1.m3u8?servicetype=1
CCTV6,https://tv.2cf.x10.mx/2gx/3221225936/1.m3u8?servicetype=1
CCTV6,https://tv.2cf.x10.mx/2gx/3221225715/1.m3u8?servicetype=1
CCTV7,https://tv.2cf.x10.mx/2gx/3221225892/1.m3u8?servicetype=1
CCTV7,https://tv.2cf.x10.mx/2gx/3221225700/1.m3u8?servicetype=1
CCTV8,https://tv.2cf.x10.mx/2gx/3221226001/1.m3u8?servicetype=1
CCTV8,https://tv.2cf.x10.mx/2gx/3221225716/1.m3u8?servicetype=1
CCTV9,https://tv.2cf.x10.mx/2gx/3221225939/1.m3u8?servicetype=1
CCTV9,https://tv.2cf.x10.mx/2gx/3221225663/1.m3u8?servicetype=1
CCTV10,https://tv.2cf.x10.mx/2gx/3221226004/1.m3u8?servicetype=1
CCTV10,https://tv.2cf.x10.mx/2gx/3221225704/1.m3u8?servicetype=1
CCTV11,https://tv.2cf.x10.mx/2gx/3221225895/1.m3u8?servicetype=1
CCTV11,https://tv.2cf.x10.mx/2gx/3221225739/1.m3u8?servicetype=1
CCTV12,https://tv.2cf.x10.mx/2gx/3221226013/1.m3u8?servicetype=1
CCTV12,https://tv.2cf.x10.mx/2gx/3221225645/1.m3u8?servicetype=1
CCTV13,https://tv.2cf.x10.mx/2gx/3221226046/1.m3u8?servicetype=1
CCTV13,https://tv.2cf.x10.mx/2gx/3221225742/1.m3u8?servicetype=1
CCTV14,https://tv.2cf.x10.mx/2gx/3221225901/1.m3u8?servicetype=1
CCTV14,https://tv.2cf.x10.mx/2gx/3221225648/1.m3u8?servicetype=1
CCTV15,https://tv.2cf.x10.mx/2gx/3221225945/1.m3u8?servicetype=1
