iptv345頻道,#genre#
parse=1

CCTV1综合,https://iptv345.com/?act=play&token=5aff0923f2f67f58decfdb2597cfaa00&tid=ys&id=1
CCTV2财经,https://iptv345.com/?act=play&token=6e5e6cb0e8e94b4b3c4e5043efa2e633&tid=ys&id=2
CCTV3综艺,https://iptv345.com/?act=play&token=b2d3ee98d95473cc00d3a6111d353f9a&tid=ys&id=3
CCTV4中文国际,https://iptv345.com/?act=play&token=4ccc915520ed4f52f28bd24df5726e97&tid=ys&id=4
CCTV5体育,https://iptv345.com/?act=play&token=dec76eaf774bf5aff82f92334047cd6f&tid=ys&id=5
CCTV5+体育赛事,https://iptv345.com/?act=play&token=07ead3c182e55c9d7140c224613e13f0&tid=ys&id=6
CCTV6电影,https://iptv345.com/?act=play&token=b78db292a22516192f2621e531c6dbb2&tid=ys&id=7
CCTV7国防军事,https://iptv345.com/?act=play&token=576b427f7736d6855aa8488295414334&tid=ys&id=8
CCTV8电视剧,https://iptv345.com/?act=play&token=5e767872d1ce8222d0de14ea717d5e2a&tid=ys&id=9
CCTV9纪录,https://iptv345.com/?act=play&token=d5255ab82eb8360028894f12588f6e84&tid=ys&id=10
CCTV10科教,https://iptv345.com/?act=play&token=bc2eb913f6b8c1a15005c9f587fb1b94&tid=ys&id=11
CCTV11戏曲,https://iptv345.com/?act=play&token=6edfdaca12b6380c5b41086eea835755&tid=ys&id=12
CCTV12社会与法,https://iptv345.com/?act=play&token=1ffce02ceeb3dc3d23b339a6d8d8aa2d&tid=ys&id=13
CCTV13新闻,https://iptv345.com/?act=play&token=f81f50836886a150b7ef04536292a19d&tid=ys&id=14
CCTV14少儿,https://iptv345.com/?act=play&token=dfb1352f3e9ae2aad138c9a51f921c60&tid=ys&id=15
CCTV15音乐,https://iptv345.com/?act=play&token=c1a80854e4ac3525c8e1ebdcfff8cf32&tid=ys&id=16
CCTV16奥林匹克,https://iptv345.com/?act=play&token=f88c9b1a1e72e6668528b9b70b2a9a64&tid=ys&id=17
CCTV17农业农村,https://iptv345.com/?act=play&token=2a0b9ecbbb0535104f4222d465bc7685&tid=ys&id=18
CCTV4欧洲HD,https://iptv345.com/?act=play&token=40a6041407af9da2ceb19635b43027cc&tid=ys&id=21
CCTV4美洲HD,https://iptv345.com/?act=play&token=657337c43cc3eedb79c6850aa268f560&tid=ys&id=22


湖南卫视,https://iptv345.com/?act=play&token=eb11cdf5b423586b991df2f63e4e11f0&tid=ws&id=1
江苏卫视,https://iptv345.com/?act=play&token=a0fd3172df29259580488d9eef51b8e6&tid=ws&id=2
浙江卫视,https://iptv345.com/?act=play&token=57ab525643ca439d54ca66d10506aed2&tid=ws&id=3
东方卫视,https://iptv345.com/?act=play&token=a987fd2e41edd06fef4e9af941b7cbc3&tid=ws&id=4
北京卫视,https://iptv345.com/?act=play&token=26a87a5c70cc847bdbc05606d4155338&tid=ws&id=5
深圳卫视,https://iptv345.com/?act=play&token=79a5d7721697642b32e40b40e5967b32&tid=ws&id=6
广东卫视,https://iptv345.com/?act=play&token=702c7d8514d3c025d15e841db357c81e&tid=ws&id=7
安徽卫视,https://iptv345.com/?act=play&token=7ec9f5370674f76d481b6990b00ebf64&tid=ws&id=8
东南卫视,https://iptv345.com/?act=play&token=420111c5285813e757252a9fdb33a415&tid=ws&id=9
河北卫视,https://iptv345.com/?act=play&token=100f381e5694046b4b9ad7024f0c5730&tid=ws&id=10
黑龙江卫视,https://iptv345.com/?act=play&token=946a32cb06366a040634423199151ddd&tid=ws&id=11
湖北卫视,https://iptv345.com/?act=play&token=10ac28aafbf9fdc33855a06160f1c9bd&tid=ws&id=12
江西卫视,https://iptv345.com/?act=play&token=9e2a66adda8f8c0f3d25edcc97d22e23&tid=ws&id=13
辽宁卫视,https://iptv345.com/?act=play&token=75ebc944b84adfdd97502ba5ccbfcd59&tid=ws&id=14
海南卫视,https://iptv345.com/?act=play&token=bec24444ce69d8bfd5ec72c0b935ecd1&tid=ws&id=15
山东卫视,https://iptv345.com/?act=play&token=e9a87fd815f24dbac4d5f86167828ead&tid=ws&id=16
四川卫视,https://iptv345.com/?act=play&token=e1472a8c60c707ab7446674afff1da4e&tid=ws&id=17
天津卫视,https://iptv345.com/?act=play&token=8e47c0b2c85f5864afde55895cabde6b&tid=ws&id=18
重庆卫视,https://iptv345.com/?act=play&token=5607caffb2efe86911112ec556efba08&tid=ws&id=19
贵州卫视,https://iptv345.com/?act=play&token=d928f19d0cdacd8d73510e2aaa3cb059&tid=ws&id=20
吉林卫视,https://iptv345.com/?act=play&token=0859fa91bc0a1b08f646f38b40c9c050&tid=ws&id=21
广西卫视,https://iptv345.com/?act=play&token=52966a72e8441a77dba579896cc2330f&tid=ws&id=22
河南卫视,https://iptv345.com/?act=play&token=e05491d27a1f14be1e0fb913d361f046&tid=ws&id=23
甘肃卫视,https://iptv345.com/?act=play&token=ecd98fd6195563d71d210945f8ed2646&tid=ws&id=24
青海卫视,https://iptv345.com/?act=play&token=068f5edadc9e48c419e1c51abde70f7a&tid=ws&id=25
云南卫视,https://iptv345.com/?act=play&token=db8f0d5b511d34ece5c105fb98067ae3&tid=ws&id=26
内蒙古卫视,https://iptv345.com/?act=play&token=38fbd702d5dea38c93413bcaa8939a2d&tid=ws&id=27
山西卫视,https://iptv345.com/?act=play&token=c00b899dd0889feb87298f5725f5297e&tid=ws&id=28
陕西卫视,https://iptv345.com/?act=play&token=1d138708596a304214c25ab1b3884b83&tid=ws&id=29
兵团卫视,https://iptv345.com/?act=play&token=080d16e346ce793e92f9f25abd66bb1b&tid=ws&id=30
新疆卫视,https://iptv345.com/?act=play&token=8360a8033ae4f2f5af2498488c516827&tid=ws&id=31
西藏卫视,https://iptv345.com/?act=play&token=ded98e9d87ef066cd2cf8999cd4e7da5&tid=ws&id=32
宁夏卫视,https://iptv345.com/?act=play&token=36fcd78dd147b06d2f44aa2483276d68&tid=ws&id=33
延边卫视,https://iptv345.com/?act=play&token=b5fa8ef1e219de202eed265fc3702730&tid=ws&id=34
康巴卫视,https://iptv345.com/?act=play&token=003acb4ea23c2aac45f790cbb32c8e81&tid=ws&id=35
大湾区卫视,https://iptv345.com/?act=play&token=8730fed3b717a93f8ed0f1ea671ef3cb&tid=ws&id=36
广东珠江频道,https://iptv345.com/?act=play&token=62fda3bcb394adb7245db5f0d3dd7540&tid=ws&id=37
厦门卫视,https://iptv345.com/?act=play&token=b271cab2dbfeadd71d1d24e32f721c35&tid=ws&id=38
安多卫视,https://iptv345.com/?act=play&token=bab2c26b7ee6a1a6431dd88fa75478b4&tid=ws&id=39
农林卫视,https://iptv345.com/?act=play&token=93a9aa762ca199bb2eeec56f907abd38&tid=ws&id=40
三沙卫视,https://iptv345.com/?act=play&token=952cebeff3464b4f509c1c4144b5c71f&tid=ws&id=41

CCTV5体育,https://iptv345.com/?act=play&token=c371ac88e5224bf3a3931087ba551c5c&tid=ty&id=1
CCTV5+体育赛事,https://iptv345.com/?act=play&token=0b41be91d744f264c7326beb29fcd674&tid=ty&id=2
緯來體育台,https://iptv345.com/?act=play&token=fc88aca0679c007d2700702ab3a0cedd&tid=ty&id=23
爱尔达体育1台,https://iptv345.com/?act=play&token=81bcd79a83be82062b26b458643c61df&tid=ty&id=28
爱尔达体育2台,https://iptv345.com/?act=play&token=4303ea0fb78c29a59882d8f4903d5bf2&tid=ty&id=29
爱尔达体育3台,https://iptv345.com/?act=play&token=53fa0418a4ff5857f08f5468cddd12b6&tid=ty&id=30
爱尔达体育4台,https://iptv345.com/?act=play&token=27a2fba31209f2074b4fb7829d5a2ef1&tid=ty&id=31

