
 
我的收藏,#genre#
央视卫视,#genre#
CCTV1,AikanTV://api/vip.php?tvid=中国CN&id=CCTV1
CCTV2,AikanTV://api/vip.php?tvid=中国CN&id=CCTV2
CCTV3,AikanTV://api/vip.php?tvid=中国CN&id=CCTV3
CCTV4,AikanTV://api/vip.php?tvid=中国CN&id=CCTV4
CCTV5,AikanTV://api/vip.php?tvid=中国CN&id=CCTV5
CCTV5+,AikanTV://api/vip.php?tvid=中国CN&id=CCTV5+
CCTV6,AikanTV://api/vip.php?tvid=中国CN&id=CCTV6
CCTV7,AikanTV://api/vip.php?tvid=中国CN&id=CCTV7
CCTV8,AikanTV://api/vip.php?tvid=中国CN&id=CCTV8
CCTV9,AikanTV://api/vip.php?tvid=中国CN&id=CCTV9
CCTV10,AikanTV://api/vip.php?tvid=中国CN&id=CCTV10
CCTV11,AikanTV://api/vip.php?tvid=中国CN&id=CCTV11
CCTV12,AikanTV://api/vip.php?tvid=中国CN&id=CCTV12
CCTV13,AikanTV://api/vip.php?tvid=中国CN&id=CCTV13
CCTV14,AikanTV://api/vip.php?tvid=中国CN&id=CCTV14
CCTV15,AikanTV://api/vip.php?tvid=中国CN&id=CCTV15
CCTV16,AikanTV://api/vip.php?tvid=中国CN&id=CCTV16
CCTV17,AikanTV://api/vip.php?tvid=中国CN&id=CCTV17
CCTV娱乐,AikanTV://api/vip.php?tvid=中国CN&id=CCTV娱乐
CETV1,AikanTV://api/vip.php?tvid=中国CN&id=CETV1
CETV2,AikanTV://api/vip.php?tvid=中国CN&id=CETV2
CHC影迷电影,AikanTV://api/vip.php?tvid=中国CN&id=CHC影迷电影
CHC动作电影,AikanTV://api/vip.php?tvid=中国CN&id=CHC动作电影
CHC家庭电影,AikanTV://api/vip.php?tvid=中国CN&id=CHC家庭电影
五星体育,AikanTV://api/vip.php?tvid=中国CN&id=五星体育
湖南卫视,AikanTV://api/vip.php?tvid=中国CN&id=湖南卫视
浙江卫视,AikanTV://api/vip.php?tvid=中国CN&id=浙江卫视
江苏卫视,AikanTV://api/vip.php?tvid=中国CN&id=江苏卫视
深圳卫视,AikanTV://api/vip.php?tvid=中国CN&id=深圳卫视
湖北卫视,AikanTV://api/vip.php?tvid=中国CN&id=湖北卫视
广西卫视,AikanTV://api/vip.php?tvid=中国CN&id=广西卫视
东南卫视,AikanTV://api/vip.php?tvid=中国CN&id=东南卫视
江西卫视,AikanTV://api/vip.php?tvid=中国CN&id=江西卫视
北京卫视,AikanTV://api/vip.php?tvid=中国CN&id=北京卫视
东方卫视,AikanTV://api/vip.php?tvid=中国CN&id=东方卫视
辽宁卫视,AikanTV://api/vip.php?tvid=中国CN&id=辽宁卫视
重庆卫视,AikanTV://api/vip.php?tvid=中国CN&id=重庆卫视
天津卫视,AikanTV://api/vip.php?tvid=中国CN&id=天津卫视
安徽卫视,AikanTV://api/vip.php?tvid=中国CN&id=安徽卫视
贵州卫视,AikanTV://api/vip.php?tvid=中国CN&id=贵州卫视
四川卫视,AikanTV://api/vip.php?tvid=中国CN&id=四川卫视
山东卫视,AikanTV://api/vip.php?tvid=中国CN&id=山东卫视
吉林卫视,AikanTV://api/vip.php?tvid=中国CN&id=吉林卫视
黑龙江卫视,AikanTV://api/vip.php?tvid=中国CN&id=黑龙江卫视
河北卫视,AikanTV://api/vip.php?tvid=中国CN&id=河北卫视
