咪咕央視,#genre#

1综合,https://migu.freetv.top/migu/608807420.m3u8?migutoken=069f6bcd69123200a7d73c3c172f7f070f7ad9ddbc059afa70371b408c130dde217a5384e87a1501d1571d31a32b610fa0d48dd1eb0726c34178767d09ff789dc680418f756ff3067bf7d40d7e
2财经,https://migu.freetv.top/migu/631780532.m3u8?migutoken=11f8abea93c781e709a234b8d94ad78e477c1440d7462b11c46783a75dc2c9128050dad3eb6a0830b8696494d12d3bd9d4785b4dc21f3429d31dfe3175fb516d3768d81a76b20e7d41d78c266f
3综艺,https://migu.freetv.top/migu/624878271.m3u8?migutoken=90437a6d88ee1545beb9507c2a6919b44a7c7eeb052fb5a8b21b3ea9e5e7c1c05e304a732d4ff5ef69a643a8844eb40d5753a8876a231f7f249452b07a027af8c4bc775f1a669a645b1024bb57
4中文国际,https://migu.freetv.top/migu/631780421.m3u8?migutoken=bf70b89b6792876c92e975014af6ccf8e4096915f8c9410bdea3baa27673c07cc471acabe4cc519f4a4c9b7e76ec454c2741aa48e63ad3f750ba096287352e5c4cb72c137326b5ff13df97027c
4欧洲,https://migu.freetv.top/migu/608807419.m3u8?migutoken=c1544d90c3da9bb045a2d5341891d7b82c1b55737bd14a4375106668f08bb318882ca0efcd8c4f90d41867e2a9f8ae1f17ca282c088a89279d79f68fb3a956d1cd086cd01b94c339cb80fb9c93
4美洲,https://migu.freetv.top/migu/608807416.m3u8?migutoken=b355607b24863fd7c2e0331454d681b30e7a52dbc11b7dbea934b4761ede49c5d8b2cacf7667b83468a9b2858c50b5f3ec2d859ddcb0d3c234b7dd074d58dbb6c842307b55c793e7a31dd4fad2
5体育,https://migu.freetv.top/migu/641886683.m3u8?migutoken=e0ea8b2d29f939ce72072811a8923e1cd75c4e7eaad9463f9d31d5885c733ccf004060e8e3ccd4c7fe3a5d8dba76f3a1d78df6ac25018f181dd5c6376d97ce87f50834e4102433f113db8701fb
5+体育赛事,https://migu.freetv.top/migu/641886773.m3u8?migutoken=d11e9f301bf40a7675be0971ee0d836d2eaed676e1fc35027e5e839ba8530fa86a71826d3131920a0fb6ce63202c6aab9a44f8f6f620ec30617a00b7cd132e9db32ecefee5db09b21fe9fafc51
6电影,https://migu.freetv.top/migu/624878396.m3u8?migutoken=70fd71178bf204b9929e28d1f3a975bc6556642694f336f257f040842da409f4fdca4c0078b98206d3f2d164bc3f8dfed96199a5e2335fffe8357ed6eff5891c5102726624940042dc74159304
7国防军事,https://migu.freetv.top/migu/673168121.m3u8?migutoken=7dc270da463cc7e827ac29b3834b5531fefe55a9fae73f1c8c3c954a0d632d63b91b64c1ddcd87e59185e1c4104abeac39cda731501e6a5adf333d0729ea5c51c1843c7068a7d3ce3475d150d7
8电视剧,https://migu.freetv.top/migu/624878356.m3u8?migutoken=3701e77f381e3594079c365df543e8d835fdd3a9fee55569b583f51c3fbad39305f09f4c458e3236d980a69eb9ea3ce8a7be8e28ac0f7afdae5a812656282a76ddfdb680f202a68cf4f7df1113
9纪录,https://migu.freetv.top/migu/673168140.m3u8?migutoken=5b7ba3081e3c7c8733d41aa80eb699ca211f4725b88a2ff743e9509792fe5189cc758361021aee317b0e3d5a0dcdde41c5bd7ee13fd2f23c9d17828b51f97d0fc940d368aff4a6487bb888ded9
10科教,https://migu.freetv.top/migu/624878405.m3u8?migutoken=60e4a369d5f5122dd775f29dc27ad2fdbbd570d85de9e144e573b0b29095224f4bd158f3e60bad55fe289a6d3bbbdafdcfe395fb54ea29cfb3d4f9f5905913a1510a75815a01d5f788fa816d66
11戏曲,https://migu.freetv.top/migu/667987558.m3u8?migutoken=6aceb2d4f9aa687ebc5e9d165f4fdc06d22882b9527322e25a8e4da8b3255829dec0167e14d121d8b4cb392a11091aaf60e2961811f7584a4ebb2839e4f55e65056a10008ff924dfafbc327360
12社会与法,https://migu.freetv.top/migu/673168185.m3u8?migutoken=5c0ca49e856f7cb2bebfa5b6065c36ca9347c1c4d9d3a3fd41f6f92c947e36fc2e923126ef9fd5494897dcff5b66487bf2eb5a7d67146d45902281505d5ee5cafee51d35085269aae809e624e9
13新闻,https://migu.freetv.top/migu/608807423.m3u8?migutoken=9788e0536ff0b470534d00d522f8d7466e28f81d9591d17564008095cac46af92a17d4c59be3e0a04c918b8e01230debd04c4a7927cc68b593a4af3188663a15ed2d168b6239dc72ee119d3921
14少儿,https://migu.freetv.top/migu/624878440.m3u8?migutoken=be226161f9d89640156f05b977f0e2caf25264c699a6896d87e177073308250afc8271f483402becbf08597e18b19810a422ac1d3cfdba677436f522d5da36d7df25d4bec95351929e849320cc
15音乐,https://migu.freetv.top/migu/673168223.m3u8?migutoken=adcafeebf4fc2c048870491608f7193638f1f4406cd9b6d53e833d2a0487a16a26cbcd1ac51b347c901c77a9677d853ae337b07a1f4c739117601646754f8ca2409d6db0abe15ce3792158ae2e
17农业农村,https://migu.freetv.top/migu/673168256.m3u8?migutoken=c442a2c2eb6cac69c364aa5d5624fa51d08d90e38cc6fd2e5e68cbbc18210abf68f58e92630ce28824fdb8b450343d88f665e9e3b92f5552cef72def5ff3f42e49c9870fb1744bb81c3e54eec4
