央視頻道,#genre#
parse=1
player=2
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36

CCTV4K,https://www.yangshipin.cn/tv/home?pid=600002264
1綜合,https://www.yangshipin.cn/tv/home?pid=600001859
2財經,https://www.yangshipin.cn/tv/home?pid=600001800
3綜藝,https://www.yangshipin.cn/tv/home?pid=600001801
4中文國際,https://www.yangshipin.cn/tv/home?pid=600001814
5體育,https://www.yangshipin.cn/tv/home?pid=600001818
5+體育賽事,https://www.yangshipin.cn/tv/home?pid=600001817
6電影,https://www.yangshipin.cn/tv/home?pid=600108442
7國防軍事,https://www.yangshipin.cn/tv/home?pid=600004092
8電視劇,https://www.yangshipin.cn/tv/home?pid=600001803
9紀錄,https://www.yangshipin.cn/tv/home?pid=600004078
10科教,https://www.yangshipin.cn/tv/home?pid=600001805
11戲曲,https://www.yangshipin.cn/tv/home?pid=600001806
12社會與法,https://www.yangshipin.cn/tv/home?pid=600001807
13新聞,https://www.yangshipin.cn/tv/home?pid=600001811
14少兒,https://www.yangshipin.cn/tv/home?pid=600001809
15音樂,https://www.yangshipin.cn/tv/home?pid=600001815
16奧林匹克,https://www.yangshipin.cn/tv/home?pid=600098637
17農業農村,https://www.yangshipin.cn/tv/home?pid=600001810

衛視頻道,#genre#
parse=1
player=2
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36

江蘇衛視,https://www.yangshipin.cn/tv/home?pid=600002521
浙江衛視,https://www.yangshipin.cn/tv/home?pid=600002520
湖南衛視,https://www.yangshipin.cn/tv/home?pid=600002475
北京衛視,https://www.yangshipin.cn/tv/home?pid=600002309
東方衛視,https://www.yangshipin.cn/tv/home?pid=600002483
山東衛視,https://www.yangshipin.cn/tv/home?pid=600002513
四川衛視,https://www.yangshipin.cn/tv/home?pid=600002516
安徽衛視,https://www.yangshipin.cn/tv/home?pid=600002532
江西衛視,https://www.yangshipin.cn/tv/home?pid=600002503
東南衛視,https://www.yangshipin.cn/tv/home?pid=600002484
河北衛視,https://www.yangshipin.cn/tv/home?pid=600002493
河南衛視,https://www.yangshipin.cn/tv/home?pid=600002525
重慶衛視,https://www.yangshipin.cn/tv/home?pid=600002531
海南衛視,https://www.yangshipin.cn/tv/home?pid=600002506
深圳衛視,https://www.yangshipin.cn/tv/home?pid=600002481
湖北衛視,https://www.yangshipin.cn/tv/home?pid=600002508
貴州衛視,https://www.yangshipin.cn/tv/home?pid=600002490
廣西衛視,https://www.yangshipin.cn/tv/home?pid=600002509
廣東衛視,https://www.yangshipin.cn/tv/home?pid=600002485
遼寧衛視,https://www.yangshipin.cn/tv/home?pid=600002505
黑龍江衛視,https://www.yangshipin.cn/tv/home?pid=600002498
