牛視網,#genre#
parse=1

東森幼幼,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsenyouyouYoyoTV.html

東森洋片,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsenyangpianETTVWestern.html

好萊塢電影,https://www.chaojidianshi.net/zhibo/gangtaizhibo/HollywoodMovies.html

HBO HD,https://www.chaojidianshi.net/zhibo/490570.html

HBO強檔,https://www.chaojidianshi.net/zhibo/490571.html

HBO獨創,https://www.chaojidianshi.net/zhibo/490572.html

HBO家庭,https://www.chaojidianshi.net/zhibo/490569.html

緯來日本,https://www.chaojidianshi.net/zhibo/gangtaizhibo/weilairibentai.html

緯來電影,https://www.chaojidianshi.net/zhibo/gangtaizhibo/weilaidianyingtai.html

緯來體育,https://www.chaojidianshi.net/zhibo/gangtaizhibo/weilaitiyutai.html

八大戲劇台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/badaxijuGTVDrama.html

八大綜合台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/badazongheGTVMetro.html

八大第一台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/badadiyiGTVFirst.html

愛爾達影劇,https://www.chaojidianshi.net/zhibo/gangtaizhibo/aierdayingju.html

愛爾達綜合,https://www.chaojidianshi.net/zhibo/gangtaizhibo/aierdazonghetai.html

EYETV戲劇,https://www.chaojidianshi.net/zhibo/gangtaizhibo/EYETVxiju.html

EYETV旅遊,https://www.chaojidianshi.net/zhibo/gangtaizhibo/EYETVl%C3%BCyou.html

龍華洋片,https://www.chaojidianshi.net/zhibo/gangtaizhibo/longhuayangpianLunghuaWestern.html

東森新聞,https://www.chaojidianshi.net/zhibo/33.html

東森戲劇,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsenxijuETTVDrama.html

東森綜合,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsenzongheETTVMetro.html

東森電影,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsendianyingETTVMovie.html

三立都會台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/sanlidouhuitai.html

三立綜合台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/sanlizongheSanliMetro.html

三立戲劇台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/sanlixijutai.html

三立台灣台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/sanlitaiwanSanliTaiwan.html

CatchPlay電影台https://www.chaojidianshi.net/zhibo/gangtaizhibo/CatchPlaydianyingtai.html

CINEMAX電影台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/CINEMAX.html

愛爾達1台,https://www.chaojidianshi.net/zhibo/tiyuzhibo/aierdatiyu1tai.html

愛爾達2台,https://www.chaojidianshi.net/zhibo/tiyuzhibo/aierdatiyu2tai.html

華視,https://www.chaojidianshi.net/zhibo/gangtaizhibo/huashiCTS.html

中視,https://www.chaojidianshi.net/zhibo/gangtaizhibo/zhongshi.html

台視,https://www.chaojidianshi.net/zhibo/gangtaizhibo/taishiTTV.html

民視,https://www.chaojidianshi.net/zhibo/gangtaizhibo/minshi.html

天映頻道,https://www.chaojidianshi.net/zhibo/90.html

美亞電影,https://www.chaojidianshi.net/zhibo/90.html

TVB新聞台,https://www.chaojidianshi.net/zhibo/73.html

TVB翡翠台,https://www.chaojidianshi.net/zhibo/78.html

TVB明珠台,https://www.chaojidianshi.net/zhibo/77.html

TVB星河台,https://www.chaojidianshi.net/zhibo/76.html

華麗翡翠台,https://www.chaojidianshi.net/zhibo/Malaysia/hualitai.html
