央視華視界,#genre#

1綜合,http://146.103.53.116:8080/hls/gf/cctv1/live.m3u8?token=
2財經,http://146.103.53.116:8080/hls/gf/cctv2/live.m3u8?token=
3綜藝,http://146.103.53.116:8080/hls/gf/cctv3/live.m3u8?token=
4中文國際,http://146.103.53.116:8080/hls/gf/cctv4/live.m3u8?token=
5體育,http://146.103.53.116:8080/hls/gf/cctv5/live.m3u8?token=
5+體育賽事,http://146.103.53.116:8080/hls/gf/cctv5plus/live.m3u8?token=
6電影,http://146.103.53.116:8080/hls/gf/cctv6/live.m3u8?token=
7國防軍事,http://146.103.53.116:8080/hls/gf/cctv7/live.m3u8?token=
8電視劇,http://146.103.53.116:8080/hls/gf/cctv8/live.m3u8?token=
9紀錄,http://146.103.53.116:8080/hls/gf/cctv9/live.m3u8?token=
10科教,http://146.103.53.116:8080/hls/gf/cctv10/live.m3u8?token=
11戲曲,http://146.103.53.116:8080/hls/gf/cctv11/live.m3u8?token=
12社會與法,http://146.103.53.116:8080/hls/gf/cctv12/live.m3u8?token=
13新聞,http://146.103.53.116:8080/hls/gf/cctv13/live.m3u8?token=
14少兒,http://146.103.53.116:8080/hls/gf/cctv14/live.m3u8?token=
15音樂,http://146.103.53.116:8080/hls/gf/cctv15/live.m3u8?token=
16奧林匹克,http://146.103.53.116:8080/hls/gf/cctv16/live.m3u8?token=
17農業農村,http://146.103.53.116:8080/hls/gf/cctv17/live.m3u8?token=


衛視華視界,#genre#
江蘇衛視,http://146.103.53.116:8080/hls/gf/jiangsuweishi/live.m3u8?token=
浙江衛視,http://146.103.53.116:8080/hls/gf/zhejiangweishi/live.m3u8?token=
湖南衛視,http://146.103.53.116:8080/hls/gf/hunanweishi/live.m3u8?token=
北京衛視,http://146.103.53.116:8080/hls/gf/beijingweishi/live.m3u8?token=
東方衛視,http://146.103.53.116:8080/hls/gf/dongfangweishi/live.m3u8?token=
山東衛視,http://146.103.53.116:8080/hls/gf/shandongweishi/live.m3u8?token=
天津衛視,http://146.103.53.116:8080/hls/gf/tianjinweishi/live.m3u8?token=
四川衛視,http://146.103.53.116:8080/hls/gf/sichuanweishi/live.m3u8?token=
安徽衛視,http://146.103.53.116:8080/hls/gf/anhuiweishi/live.m3u8?token=
江西衛視,http://146.103.53.116:8080/hls/gf/jiangxiweishi/live.m3u8?token=
東南衛視,http://146.103.53.116:8080/hls/gf/dongnanweishi/live.m3u8?token=
河北衛視,http://146.103.53.116:8080/hls/gf/hebeiweishi/live.m3u8?token=
重慶衛視,http://146.103.53.116:8080/hls/gf/chongqingweishi/live.m3u8?token=
深圳衛視,http://146.103.53.116:8080/hls/gf/shenzhenweishi/live.m3u8?token=
湖北衛視,http://146.103.53.116:8080/hls/gf/hubeiweishi/live.m3u8?token=
貴州衛視,http://146.103.53.116:8080/hls/gf/guizhouweishi/live.m3u8?token=
雲南衛視,http://146.103.53.116:8080/hls/gf/yunnanweishi/live.m3u8?token=
廣西衛視,http://146.103.53.116:8080/hls/gf/guangxiweishi/live.m3u8?token=
廣東衛視,http://146.103.53.116:8080/hls/gf/guangdongweishi/live.m3u8?token=
遼寧衛視,http://146.103.53.116:8080/hls/gf/liaoningweishi/live.m3u8?token=
黑龍江衛視,http://146.103.53.116:8080/hls/gf/heilongjiangweishi/live.m3u8?token=

