
央视网,#genre#
CCTV-1,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv1/
CCTV-1,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001859
CCTV-2,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv2/
CCTV-2,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001800
CCTV-3,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv3/
CCTV-4,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv4/
CCTV-4,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001814
CCTV-5,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5/
CCTV-5,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001818
CCTV-5+,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5plus/
CCTV-5+,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001817
CCTV-6,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600108442
CCTV-6,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv6/
CCTV-7,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv7/
CCTV-7,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004092
CCTV-8,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001803
CCTV-8,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv8/
CCTV-9,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvjilu/
CCTV-9,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004078
CCTV-10,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv10/
CCTV-10,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001805
CCTV-11,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv11/
CCTV-11,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001806
CCTV-12,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv12/
CCTV-12,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001807
CCTV-13,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv13/
CCTV-13,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001811
CCTV-14,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvchild/
CCTV-14,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001809
CCTV-15,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv15/
CCTV-15,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001815
CCTV-16,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv16/
CCTV-16,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600098637
CCTV-17,http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv17/
CCTV-17,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001810
CCTV-4 中文国际 (欧),http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctveurope/index.shtml
CCTV-4 中文国际 (美),http://PLTV/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvamerica/
CCTV4K 超高清,http://PLTV/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002264
CCTV风云剧场,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099620

央视频(卫视),#genre#
湖南卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002475
江苏卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002521
东方卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002483
浙江卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002520
北京卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002309
湖北卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002508
广东卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002485
广西卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002509
黑龙江卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002498
海南卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002506
重庆卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002531
深圳卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002481
四川卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002516
河南卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002525
东南卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002484
贵州卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002490
江西卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002503
辽宁卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002505
安徽卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002532
河北卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002493
山东卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002513
天津卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600152137
吉林卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190405
陕西卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190400
甘肃卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190408
宁夏卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190737
内蒙古卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190401
云南卫视,http://PLTV/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190402
